Periodo;Tipo Producto;Continente;Pais;Ingresos;Gastos
2017;Accesorios; africa;Angola;66319,70;56708,15
2017;Aplicaciones; africa;Angola;122357,28;77039,77
2017;Celulares; africa;Angola;265278,82;215226,21
2017;Musica; africa;Angola;130447,02;86964,68
2017;PC; africa;Angola;394602,24;326567,37
2017;Tablets; africa;Angola;81152,13;69217,99
2017;TV; africa;Angola;44777,56;28193,28
2017;Accesorios; America;Argentina;88128,95;73914,61
2017;Aplicaciones; America;Argentina;135405,13;73857,34
2017;Celulares; America;Argentina;464439,59;417526,50
2017;Musica; America;Argentina;232219,80;146212,46
2017;PC; America;Argentina;566389,74;493775,67
2017;Tablets; America;Argentina;152275,28;131971,91
2017;TV; America;Argentina;62932,19;35570,37
2017;Accesorios; Oceania;Australia;54365,02;39867,68
2017;Aplicaciones; Oceania;Australia;87845,92;43124,36
2017;Celulares; Oceania;Australia;246268,91;197809,55
2017;Musica; Oceania;Australia;114794,67;65050,31
2017;PC; Oceania;Australia;313189,82;252509,29
2017;Tablets; Oceania;Australia;92647,79;70749,22
2017;TV; Oceania;Australia;36987,76;19973,39
2017;Accesorios; Europa;Austria;21115,40;18300,01
2017;Aplicaciones; Europa;Austria;31740,78;17940,44
2017;Celulares; Europa;Austria;71761,75;61510,07
2017;Musica; Europa;Austria;47157,72;27508,67
2017;PC; Europa;Austria;125355,97;108183,92
2017;Tablets; Europa;Austria;25327,68;21905,02
2017;TV; Europa;Austria;15744,23;9913,04
2017;Accesorios; Europa;Belgica;33098,74;29501,05
2017;Aplicaciones; Europa;Belgica;60964,96;35562,89
2017;Celulares; Europa;Belgica;165824,69;142135,45
2017;Musica; Europa;Belgica;60519,96;38905,69
2017;PC; Europa;Belgica;301499,44;267238,14
2017;Tablets; Europa;Belgica;45934,82;38643,58
2017;TV; Europa;Belgica;21563,68;12938,21
2017;Accesorios; America;Brasil;419500,74;343227,88
2017;Aplicaciones; America;Brasil;746952,75;459663,23
2017;Celulares; America;Brasil;1648038,61;1478137,72
2017;Musica; America;Brasil;771943,74;496249,54
2017;PC; America;Brasil;3146255,53;2784616,96
2017;Tablets; America;Brasil;521740,87;443869,10
2017;TV; America;Brasil;290423,59;178722,21
2017;Accesorios; America;Canada;986432,96;878033,73
2017;Aplicaciones; America;Canada;1559476,38;1021725,91
2017;Celulares; America;Canada;4496490,23;3771249,87
2017;Musica; America;Canada;2043859,20;1286874,31
2017;PC; America;Canada;6131577,59;5499456,19
2017;Tablets; America;Canada;1419944,28;1198077,99
2017;TV; America;Canada;840465,46;458435,71
2017;Accesorios; Europa;Suiza;16629,96;13712,42
2017;Aplicaciones; Europa;Suiza;28586,14;17591,47
2017;Celulares; Europa;Suiza;93057,00;82601,16
2017;Musica; Europa;Suiza;30800,56;17966,99
2017;PC; Europa;Suiza;98284,92;88046,91
2017;Tablets; Europa;Suiza;25879,76;21637,17
